Months,L,M,S,p3,p10,p25,p50,p75,p85,p97
12.22176591,-0.3727,16.3284,0.0879,13.90818272,14.62245101,15.39840306,16.3284,17.33726808,17.91415149,19.36641245
12.25462012,-0.3736,16.3242,0.08789,13.90500942,14.6189486,15.39456751,16.3242,17.33271727,17.90942148,19.36130207
12.28747434,-0.3745,16.32,0.08788,13.90183583,14.61544603,15.39073189,16.32,17.3281665,17.90469152,19.35619168
12.32032854,-0.3754,16.3158,0.08787,13.89866195,14.61194328,15.38689618,16.3158,17.32361576,17.89996159,19.35108129
12.35318275,-0.3763,16.3117,0.08786,13.89557296,14.60852992,15.38315471,16.3117,17.31917123,17.89534141,19.34608951
12.38603696,-0.3772,16.3075,0.08785,13.8923985,14.60502683,15.37931886,16.3075,17.31462057,17.89061156,19.34097913
12.41889117,-0.378,16.3034,0.08784,13.88929145,14.60160438,15.37557462,16.3034,17.31017298,17.8859837,19.3359586
12.45174538,-0.3789,16.2992,0.08783,13.88611641,14.59810095,15.37173862,16.2992,17.30562239,17.88125393,19.33084823
12.48459959,-0.3798,16.2951,0.08782,13.88302628,14.59468691,15.36799685,16.2951,17.30117801,17.87663391,19.32585646
12.5174538,-0.3806,16.291,0.08782,13.8796728,14.59108465,15.36415105,16.291,17.2968499,17.87219805,19.32122372
12.550308,-0.3815,16.2868,0.08781,13.87649699,14.58758077,15.36031486,16.2868,17.29229939,17.86746837,19.31611332
12.58316222,-0.3824,16.2827,0.0878,13.87340609,14.58416629,15.3565729,16.2827,17.2878551,17.86284843,19.31112152
12.61601643,-0.3832,16.2786,0.08779,13.87029748,14.58074291,15.35282826,16.2786,17.28340772,17.85822079,19.30610101
12.64887063,-0.3841,16.2745,0.08778,13.86720602,14.57732809,15.34908616,16.2745,17.27896349,17.85360093,19.30110921
12.68172485,-0.385,16.2704,0.08777,13.86411427,14.5739131,15.34534398,16.2704,17.27451931,17.84898111,19.29611742
12.71457906,-0.3858,16.2663,0.08776,13.86100485,14.57048924,15.34159912,16.2663,17.27007204,17.84435359,19.29109695
12.74743326,-0.3867,16.2622,0.08775,13.85791254,14.56707392,15.3378568,16.2622,17.26562792,17.83973385,19.28610516
12.78028748,-0.3875,16.2582,0.08774,13.85488779,14.56373931,15.33420611,16.2582,17.2612869,17.83521612,19.28120331
12.81314168,-0.3884,16.2541,0.08773,13.85179492,14.56032366,15.33046365,16.2541,17.25684285,17.83059646,19.27621153
12.84599589,-0.3892,16.25,0.08772,13.84868441,14.55689915,15.3267185,16.25,17.25239573,17.82596911,19.27119111
12.87885011,-0.3901,16.246,0.08771,13.8456762,14.55357275,15.32307021,16.246,17.24805793,17.82145923,19.26631793
