Month,L,M,S,C3,C10,C25,C50,C75,C90,C97
172,1,165.3145,0.04687,150.7415645,155.384666,160.0883574,165.3145,170.5406426,175.244334,179.8874355
173,1,165.8165,0.04679,151.2242612,155.8735129,160.5834348,165.8165,171.0495652,175.7594871,180.4087388
174,1,166.305,0.04671,151.6947949,156.3497709,161.0654918,166.305,171.5445082,176.2602291,180.9152051
175,1,166.7799,0.04663,152.1530683,156.8133417,161.5344291,166.7799,172.0253709,176.7464583,181.4067317
176,1,167.2415,0.04655,152.5993491,157.2645034,161.9905354,167.2415,172.4924646,177.2184966,181.8836509
177,1,167.6899,0.04646,153.0368763,157.7054948,162.4350362,167.6899,172.9447638,177.6743052,182.3429237
178,1,168.1255,0.04637,153.4628717,158.1345504,162.8671918,168.1255,173.3838082,178.1164496,182.7881283
179,1,168.5482,0.04628,153.8772374,158.5515715,163.2869029,168.5482,173.8094971,178.5448285,183.2191626
180,1,168.958,0.04619,154.2799669,158.9565537,163.6941673,168.958,174.2218327,178.9594463,183.6360331
181,1,169.3549,0.04609,154.6742388,159.351663,164.0901248,169.3549,174.6196752,179.358137,184.0355612
182,1,169.7389,0.04599,155.0568759,159.7347343,164.4736361,169.7389,175.0041639,179.7430657,184.4209241
183,1,170.1099,0.04589,155.4277794,160.1056685,164.8446015,170.1099,175.3751985,180.1141315,184.7920206
184,1,170.468,0.04579,155.7870334,160.4645549,165.2031153,170.468,175.7328847,180.4714451,185.1489666
185,1,170.8136,0.04569,156.1349963,160.8117649,165.5495627,170.8136,176.0776373,180.8154351,185.4922037
186,1,171.1468,0.04559,156.4717525,161.147388,165.884038,171.1468,176.409562,181.146212,185.8218475
187,1,171.468,0.04548,156.8008856,161.4739936,166.208083,171.468,176.727917,181.4620064,186.1351144
188,1,171.7773,0.04538,157.1160363,161.7872802,166.5194812,171.7773,177.0351188,181.7673198,186.4385637
189,1,172.0748,0.04527,157.4237447,162.091736,166.8206421,172.0748,177.3289579,182.057864,186.7258553
190,1,172.3606,0.04516,157.7208699,162.3852529,167.1105035,172.3606,177.6106965,182.3359471,187.0003301
191,1,172.6345,0.04506,158.0039747,162.665425,167.3877046,172.6345,177.8812954,182.603575,187.2650253
192,1,172.8967,0.04495,158.2797238,162.9368572,167.6547635,172.8967,178.1386365,182.8565428,187.5136762
193,1,173.147,0.04484,158.5446849,163.1971471,167.9103213,173.147,178.3836787,183.0968529,187.7493151
